"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -1.077736225,    -0.02149643436,      -7.958526182,       4.946415799
          0,           0,           1,      -1.323245711,      0.1225513385,     -0.3773251706,       4.702261373
          0,           0,           2,      -1.581066667,      0.2643974851,      0.1198118644,        4.44697146
          0,           0,           3,      -1.662644366,      0.2890595878,      0.2845691021,       4.367348661
          0,           0,           4,      -1.995392043,     0.08093108027,     -0.1071920561,        4.03317655
          0,           0,           5,       -1.86752118,     -0.1598269475,     0.07937595036,       4.161880943
          0,           0,           6,      -2.088950084,     -0.5297616802,     -0.2532864515,       3.940277663
          0,           0,           7,      -2.043101022,     -0.4879831322,     -0.1520345523,       3.985935049
          0,           0,           8,      -2.156813219,     -0.6001951582,     -0.4288830874,       3.872001055
          0,           0,           9,      -2.088313244,     -0.4731454374,     -0.2218224685,       3.940695126
          0,           0,          10,      -1.837065361,     -0.2781717931,      0.1278503929,       4.192533034
          0,           0,          11,       -2.20030485,     -0.6600488104,      -0.309835221,       3.828700374
          0,           0,          12,      -2.043178033,     -0.5078129364,    -0.08884352665,       3.986202711
          0,           0,          13,      -2.260206982,     -0.7210031143,     -0.4313382662,       3.768626645
          0,           0,          14,      -2.213778029,     -0.6469908473,     -0.3222505061,       3.815192625
          0,           0,          15,      -2.320169287,     -0.7236737441,     -0.6025924982,       3.708384263
          0,           0,          16,      -2.255279928,     -0.6428599504,     -0.3852000624,       3.773527259
          0,           0,          17,      -2.346775642,     -0.7001234404,     -0.6511427507,       3.681636353
          0,           0,          18,       -2.27298685,     -0.6206360658,     -0.3965648228,       3.755745004
          0,           0,          19,      -2.371726596,     -0.6794741204,     -0.6605969133,       3.656553484
          0,           0,          20,      -2.308489544,      -0.615243423,     -0.4363530757,       3.720110031
          0,           0,          21,      -2.406017844,     -0.6668555829,     -0.6965946756,       3.622079453
          0,           0,          22,      -2.346475885,     -0.6124524558,     -0.4777496513,       3.681980695
          0,           0,          23,      -2.441992599,     -0.6575183188,     -0.7359763238,       3.585906215
          0,           0,          24,      -2.383740297,     -0.6094566196,     -0.5166683043,        3.64457064
          0,           0,          25,      -2.478005224,      -0.649614714,     -0.7730206491,       3.549686451
          0,           0,          26,      -2.422053412,     -0.6067524372,     -0.5566505568,        3.60609784
          0,           0,          27,      -2.515015984,     -0.6429055677,      -0.810362692,       3.512449215
          0,           0,          28,      -2.461934812,     -0.6043391191,      -0.598557188,       3.566036153
          0,           0,          29,      -2.553433967,     -0.6373470278,     -0.8484776361,       3.473777334
          0,           0,          30,       -2.50322446,     -0.6025488818,     -0.6417223742,       3.524542321
          0,           0,          31,      -2.593216743,     -0.6332997651,     -0.8867131072,       3.433710637
          0,           0,          32,       -2.54602505,     -0.6025025427,     -0.6856662999,       3.481527634
          0,           0,          33,      -2.634321619,     -0.6313024227,     -0.9243199697,       3.392281777
          0,           0,          34,      -2.589807734,     -0.6043447184,      -0.730061368,       3.437510042
          0,           0,          35,      -2.676249422,     -0.6315966533,     -0.9602792188,        3.34998789
          0,           0,          36,      -2.633653882,     -0.6084219494,     -0.7735911299,       3.393337824
          0,           0,          37,      -2.718062349,     -0.6344073886,     -0.9944623637,        3.30778746
          0,           0,          38,      -2.675922841,     -0.6146334439,       -0.81479889,       3.350756887
          0,           0,          39,      -2.758138599,     -0.6396412842,      -1.025413005,       3.267327721
          0,           0,          40,      -2.714685907,     -0.6231156113,      -0.851569894,       3.311684325
          0,           0,          41,       -2.79454731,     -0.6474341051,      -1.051703967,       3.230568149
          0,           0,          42,      -2.747657154,     -0.6338746726,     -0.8816117002,       3.278502938
